url,target,Phishing
http://liv.dev.miyatsu.vn/wp-content/plugins/lfbrggsnqo/adn/one/,Other,1
https://servicemailsfr77.wixsite.com/my-site,Other,0
https://hwimvk.cn/pc/vpass_select.php,Other,0
https://hwlmhn.cn/pc/vpass_select.php,Other,0
https://hwlmhi.cn/pc/vpass_select.php,Other,0
https://howtxu.cn/pc/vpass_select.php,Other,0
https://tou315.cn/pc/vpass_select.php,Other,0
https://www.atafai-info.ci/preview/elvis/7d3f1,Other,1
https://www.atafai-info.ci/preview/elvis/46b89,Other,1
https://reverent-matsumoto.46-20-34-168.plesk.page/css,Other,1
https://de-paket-8da1f1.ingress-erytho.easywp.com/PAY/app/Package/Select-payment-method.php?NAME_PATH=track_yy_dl24&SCREEN=identification_contrat_paiement,Other,1
https://amozon-co-jp.2y12da.shop/r/Account,Amazon.com,1
https://arnezom.top/,Other,0
https://ralkctan.xyz/,Other,0
https://ralkctan.top/,Other,0
https://rakctarl.xyz/,Other,0
https://ralkutne.xyz/,Other,0
https://ralkutne.top/,Other,0
https://rekcton.top/,Other,0
https://www.amazom-jkl.shop/,Amazon.com,1
https://www.2xzqux.xyz/ap/signin?wxx90a.9xaf.dsl_h9cx_jzh=0&amp;j1rpw.ov4id2_to=https%3A%2F%2Fwww.wqzg0u.co.jp%2F-%2ea7%2cmv%2hr8hshf56-xltxm4rjbpu1%2lquj3jfomanguage%2Fref%3Dnav_ya_signin%3Flanguage%3Dja_JP%26i5dc4043t5l4ReturnUrl%3D%252F&amp;9txhr.identity=http%3A%2F%2Fspecs.dqdvn.net%2Fauth%2F2.0%2Fidentifier_sejamt&amp;lmaco.assoc_handle=jpflex&amp;ybinw.mode=checkid_setup&amp;ycs5r.claimed_id=http%3A%2F%2Fspecs.eh5xy.net%2Fauth%2F2.0%2Fidentifier_sejcft&amp;ns7go.ns=http%3A%2F%2Fspecs.pjbrh.net%2Fauth%2F2.0&amp;,Amazon.com,1
https://viparnasonclient.co.jp-vip5f398d17f3fa9786.vip/,Amazon.com,1
https://viparnasonclient.co.jp-vip5f398d17f3fa9786.vip/404.html,Amazon.com,1
https://www.amazon.co-jp.thexiaiefjnisj.casa/,Amazon.com,1
https://www.amazon.co-jp.thexiaiefjnisj.casa/404.html,Amazon.com,1
http://www.atafai-info.ci/preview/elvis/f5982,Other,1
http://www.atafai-info.ci/preview/elvis/f39da,Other,1
http://www.atafai-info.ci/preview/elvis/7d3f1,Other,1
https://www.arcustomviewer.com/dianaestate,Other,0
https://nopeosiehjrb.com/mazon/amazon,Other,0
https://midbuy.ru/Q/1624316593,Other,0
https://liv.dev.miyatsu.vn/wp-content/plugins/lfbrggsnqo/adn/one,Other,1
https://infopersonel.serveftp.com/espaceclient/c775d,Other,0
https://ginrtiaasr.com/mazon/amazon,Other,0
http://qioplaklsolutions.com/mazon/amazon,Other,0
http://qioplaklgroup.com/mazon/ad5da,Other,0
http://meine.deutsche-bank.de-id1nch1hbhadb92b19adbb109jbnd81ba82baghc.xyz/db,Other,1
http://exhibitionweakness.com/client,Other,0
https://jeffreywbarnett.com/mazon/amazon/,Other,1
https://belingue.com.sleepy-gould.107-172-191-10.plesk.page/p/09330,Other,1
https://certicodeplus-banquepostale.com/post/web/index.php?cheking=pass&amp;id=3892990,Other,1
https://moncompteenligne.ml/banquepostale/39001,Other,0
https://moncompteenligne.ml/banquepostale/8e48e,Other,0
https://ksk-kundenbanken-service.de/ksk/sparkasse/de/login/id74568734653463/*,Other,1
http://meine.deutsche-bank.de-id1nch1hbhadb92b19adbb109jbnd81ba82baghc.xyz/db/mob/,Other,1
https://elastic-jones.198-144-190-113.plesk.page/Vas/,Other,1
https://elastic-jones.198-144-190-113.plesk.page/Vas/83596/,Other,1
https://elastic-jones.198-144-190-113.plesk.page/vosassurances/b4142/,Other,1
https://elastic-jones.198-144-190-113.plesk.page/vosassurances/,Other,1
https://test.sowazi.com/?appidkey=60f9bdb3bb23b3.85344127.60f9bdb3bb2d92.39299246&amp;rv=1&amp;language=us-en,Other,1
https://test.sowazi.com/?appIdKey=60fa3edfc368f6.37120904.60fa3edfc369a7.75097052&rv=1&language=US-EN,Other,1
https://ksk-kundenbanken-service.de/ksk/sparkasse/de/login/id74568734653463,Other,1
http://platotech.com.au/top/docusign5apps/d6fa27291e8e3a2de4f820a60a58f205,Other,1
https://nttdocomo.ne.registern.jp/,Other,1
https://srnbc-card.com.stsve969v.top/404.html,Sumitomo Mitsui Banking Corporation,1
https://srnbc-card.com.stsve969v.top/,Sumitomo Mitsui Banking Corporation,1
https://submitreview.com/AG,Other,0
http://www.atafai-info.ci/preview/elvis/46b89,Other,1
https://gexingsheji.top/k.php,Other,0
https://annzon-ukxhgl-co-jp.znchtdu.top/,Other,1
http://www.franklee2.com/mazon/amazon/,Other,0
http://join-whatsapp18xz.duckdns.org/,Other,1
http://www.finndhjfhjb.com/mazon/amazon/,Other,0
https://www.join-whatsapp18xz.duckdns.org/,Other,1
http://meine.deutsche-bank.de-id1nch1hbhadb92b19adbb109jbnd81ba82baghc.xyz/db/desk,Other,1
https://www-degelyehuda-org-il.filesusr.com/html/87d61b_fbbccdb931d8874609e6da5e75341242.html,Other,1
https://jeffreywbarnett.com/mazon/amazon,Other,1
https://www.secure08-sign-netflix.serveuser.com/c0ad6deb373037e7f63f219c850e3396/,Other,1
https://ginrtiaasr.com/mazon/amazon/,Other,0
http://hipote6986.000webhostapp.com/index3.html,Other,0
http://hipote6986.000webhostapp.com/index2.html,Other,0
http://router-46f1dad9-51ba-46e4-b5aa-2f2f0eb267ed.westeurope.cloudapp.azure.com/,Other,1
https://gleentacademy.com/wp-content/plugins/cslsatjprt/adn/one/#dmoda,Other,1
https://midbuy.ru/Q/1624316593/,Other,0
